Data Size,Time in millisecond
1730, 7562350069
1308, 7567258430
1066, 7579051536
1430, 7609915303
1331, 7622228829
49, 7623308994
49, 7626605542
43, 7628071839
66, 7634043170
49, 7634881901
648, 7637759430
2053, 7645314535
1805, 7650251153
43, 7651517195
66, 7655454034
49, 7656749841
806, 7660814635
2272, 7672828345
1813, 7680868243
1442, 7688817610
1237, 7693265217
1135, 7700572566
1693, 7708522564
1376, 7712299539
49, 7713366051
49, 7715569779
1553, 7734595655
1153, 7748008530
1047, 7753506147
1591, 7757704106
1847, 7761515689
49, 7762580027
49, 7767890143
43, 7768710718
66, 7771989748
49, 7773341624
819, 7777902179
2247, 7789920094
1768, 7795843564
43, 7796617749
66, 7799669886
49, 7801256196
1188, 7813881756
2128, 7821127689
1683, 7837647912
1339, 7844863748
1117, 7851119841
1294, 7861420927
2265, 7866622853
2011, 7880772658
49, 7885171616
49, 7889514458
1097, 7902350455
1502, 7908999256
2379, 7919264370
1795, 7927168328
49, 7928250491
49, 7932598567
43, 7933684418
66, 7936859899
49, 7938003642
1051, 7944436616
1784, 7973632848
1328, 7990533443
969, 7995993533
43, 7999815822
66, 8003307799
49, 8006839931
1032, 8018165301
1767, 8035584500
1575, 8042954580
1277, 8047430066
1090, 8051632419
1126, 8059171545
2220, 8067178689
1553, 8074630393
49, 8075479465
49, 8077320907
1473, 8084812424
1264, 8089455342
1260, 8095259354
2017, 8109603843
1598, 8115542939
49, 8117907999
49, 8122789957
43, 8126521332
66, 8142386535
49, 8145954693
867, 8158079763
1763, 8163096160
1619, 8168123232
43, 8169354087
66, 8174792150
49, 8175839492
881, 8180207027
1731, 8185740889
1551, 8191528469
1463, 8204056166
1147, 8209038818
1267, 8213774117
1621, 8220002674
1150, 8226969265
49, 8228394423
49, 8231678080
1431, 8247491437
1213, 8257125827
1164, 8275931907
1512, 8280956136
1512, 8289003304
49, 8290501820
49, 8293102607
43, 8294027058
66, 8298068927
49, 8298904259
1061, 8303997211
1975, 8309115506
1786, 8323287414
49, 8325751189
43, 8330839278
66, 8335517471
49, 8337391602
1198, 8350431802
2125, 8380278146
1694, 8394111670
1506, 8400559984
1181, 8405706822
1339, 8409723134
1791, 8415710887
1304, 8422642004
49, 8423927765
1489, 8437289543
1244, 8441596424
1401, 8453282275
1817, 8460027362
1130, 8463421491
49, 8464747655
49, 8466377094
43, 8467030850
66, 8469565137
49, 8470791960
964, 8476368875
2059, 8484979763
1776, 8495256883
49, 8497071157
43, 8497780403
66, 8500914510
49, 8505387595
877, 8522599973
1812, 8532918577
1799, 8540151507
1364, 8548827894
1267, 8557332978
1354, 8568305404
1938, 8574348389
1314, 8582956370
49, 8583998295
2759, 8601135941
2074, 8621512000
1636, 8637843019
2272, 8646193687
2981, 8658231199
1976, 8664775619
49, 8667240894
49, 8669907487
43, 8671577847
66, 8675992767
49, 8676898095
1296, 8683480204
2703, 8705117212
49, 8707555351
43, 8709987659
66, 8716615544
49, 8720216838
1149, 8730659963
2024, 8737827542
1722, 8746046312
1583, 8750901471
1407, 8756403132
1928, 8761030708
2115, 8768536400
1663, 8775458335
49, 8776639840
1549, 8785722585
